"zero.receive.level","actual.receive.level","source.level","distance","Sound.type","time","date","magic.x","noise.level","ExcessAttenuation","dBdoubledist","Call.category"
-8.2668722550395,63.3922353104496,0,47,"1_Hfunstart","640",20190823,-18.9766711990088,43.3294799170101,2.57,-5.71254724875442,"Hfunstart"
-17.7818476523478,53.8772599131413,0,94,"1_Hfunstart","640",20190823,-24.0065299358984,43.5924349075397,6.58,-7.22668560251073,"Hfunstart"
-21.3402089453828,50.3188986201063,0,143,"1_Hfunstart","640",20190823,-23.1538755758779,38.2955600062853,6.54,-6.97001106421089,"Hfunstart"
-19.3346084665114,52.3244990989777,0,192,"1_Hfunstart","640",20190823,-18.4043084488141,38.7664040645899,2.03,-5.5402488925451,"Hfunstart"
-21.5424423629663,50.1166652025228,0,232,"1_Hfunstart","640",20190823,-19.0071396186852,36.0675194041058,2.64,-5.72171915699748,"Hfunstart"
-9.460846813545,59.6220562046253,0,47,"1_Hfuntrill","640",20190823,-21.7174493213426,44.5997537819836,3.76,-6.5376036750365,"Hfuntrill"
-12.582563684154,56.5003393340163,0,94,"1_Hfuntrill","640",20190823,-16.9871937753391,45.0558524633612,1.38,-5.11365486853354,"Hfuntrill"
-17.6067260384007,51.4761769797696,0,143,"1_Hfuntrill","640",20190823,-19.1030905571289,41.0947674280729,2.81,-5.75060326758115,"Hfuntrill"
-17.2363428075175,51.8465602106528,0,192,"1_Hfuntrill","640",20190823,-16.4070025058174,40.9340622997366,-0.06,-4.93899989318515,"Hfuntrill"
-20.3249121304588,48.7579908877115,0,232,"1_Hfuntrill","640",20190823,-17.9328989764531,38.680029959647,1.42,-5.39834050112429,"Hfuntrill"
-8.435113052316,57.3996139764117,0,47,"1_Halbstart","640",20190823,-19.3628692910658,44.1757771029517,2.74,-5.82880445873178,"Halbstart"
-13.4393690437615,52.3953579849662,0,94,"1_Halbstart","640",20190823,-18.1439309106919,44.5337277933187,2.24,-5.46186744337314,"Halbstart"
-20.9201926577887,44.914534370939,0,143,"1_Halbstart","640",20190823,-22.6981628465562,39.8709750127586,6.12,-6.83282786327915,"Halbstart"
-26.0428341132018,39.7918929155259,0,192,"1_Halbstart","640",20190823,-24.7897624992427,39.8782950367252,8.74,-7.46246209765816,"Halbstart"
-30.9557546492507,34.878972379477,0,232,"1_Halbstart","640",20190823,-27.3126111100363,37.3161014606357,12.06,-8.22191520402624,"Halbstart"
-10.454829364264,60.868783839733,0,47,"1_Halbpeak","640",20190823,-23.9991441946423,42.8493282190435,4.75,-7.22446227285242,"Halbpeak"
-12.0615198460879,59.2620933579091,0,94,"1_Halbpeak","640",20190823,-16.2837542486374,43.6404961961737,0.86,-4.90189847086066,"Halbpeak"
-20.8941276421588,50.4294855618382,0,143,"1_Halbpeak","640",20190823,-22.6698826113288,40.4866368210754,6.09,-6.82431466419126,"Halbpeak"
-28.0592402154063,43.2643729885907,0,192,"1_Halbpeak","640",20190823,-26.7091476229353,40.5662971964733,10.76,-8.04025459312085,"Halbpeak"
-32.5317078496044,38.7919053543926,0,232,"1_Halbpeak","640",20190823,-28.7030923752029,38.5168347844328,13.63,-8.64049177325019,"Halbpeak"
-6.1313132445882,50.5256844607068,0,47,"1_Halbend","640",20190823,-14.0744784570428,45.0042983132295,0.43,-4.23684018889639,"Halbend"
-14.301865799099,42.355131906196,0,94,"1_Halbend","640",20190823,-19.3083517617439,45.8322311326082,3.1,-5.8123930471164,"Halbend"
-18.0977064391038,38.5592912661912,0,143,"1_Halbend","640",20190823,-19.6357985140739,39.7192406304494,3.3,-5.91096434155047,"Halbend"
-19.2009211418257,37.4560765634693,0,192,"1_Halbend","640",20190823,-18.2770535957627,40.2166876464928,1.9,-5.50194136468281,"Halbend"
-22.407515719826,34.249481985469,0,232,"1_Halbend","640",20190823,-19.7704035883502,37.9908539328274,3.51,-5.9514845064762,"Halbend"
-8.4616673265935,63.2460703168403,0,47,"2_Hfunstart","640",20190823,-19.4238248394699,43.3294799170101,2.76,-5.84715390720356,"Hfunstart"
-18.4813831333762,53.2263545100576,0,94,"2_Hfunstart","640",20190823,-24.9509435758564,43.5924349075397,7.28,-7.51098243645228,"Hfunstart"
-25.1935283459112,46.5142092975226,0,143,"2_Hfunstart","640",20190823,-27.3346817798985,38.2955600062853,10.39,-8.22855913767914,"Hfunstart"
-29.9351516255543,41.7725860178795,0,192,"2_Hfunstart","640",20190823,-28.4947980680846,38.7664040645899,12.64,-8.57778893888153,"Hfunstart"
-37.5799153231214,34.1278223203124,0,232,"2_Hfunstart","640",20190823,-33.1571827079769,36.0675194041058,18.68,-9.98130656681211,"Hfunstart"
-9.5190546150277,59.4780107813682,0,47,"2_Hfuntrill","640",20190823,-21.8510657939186,44.5997537819836,3.82,-6.57782624119668,"Hfuntrill"
-13.0190742612209,55.977991135175,0,94,"2_Hfuntrill","640",20190823,-17.5765084765203,45.0558524633612,1.82,-5.29105627047484,"Hfuntrill"
-20.3918951348911,48.6051702615048,0,143,"2_Hfuntrill","640",20190823,-22.1249662511751,41.0947674280729,5.59,-6.66027849465696,"Hfuntrill"
-29.0598489242628,39.9372164721331,0,192,"2_Hfuntrill","640",20190823,-27.6616112503349,40.9340622997366,11.76,-8.32697471474705,"Hfuntrill"
-39.656538209036,29.3405271873599,0,232,"2_Hfuntrill","640",20190823,-34.9894104778322,38.680029959647,20.76,-10.5328620844271,"Hfuntrill"
-8.2690471929015,57.7623631563919,0,47,"2_Halbstart","640",20190823,-18.9816637862186,44.1757771029517,2.57,-5.71405016726053,"Halbstart"
-11.0491475115752,54.9822628377182,0,94,"2_Halbstart","640",20190823,-14.9169926370258,44.5337277933187,-0.15,-4.49046222884353,"Halbstart"
-14.2564354718276,51.7749748774658,0,143,"2_Halbstart","640",20190823,-15.468064718347,39.8709750127586,-0.54,-4.65635145509417,"Halbstart"
-15.0951840768822,50.9362262724112,0,192,"2_Halbstart","640",20190823,-14.3688673253333,39.8782950367252,-2.2,-4.3254600686414,"Halbstart"
-19.7634466486345,46.2679637006589,0,232,"2_Halbstart","640",20190823,-17.437511655726,37.3161014606357,0.86,-5.24921405811383,"Halbstart"
-10.364769437119,61.0187637088814,0,47,"2_Halbpeak","640",20190823,-23.7924109135521,42.8493282190435,4.66,-7.16222935414225,"Halbpeak"
-12.4966914891521,58.8868416568483,0,94,"2_Halbpeak","640",20190823,-16.8712613109362,43.6404961961737,1.3,-5.07875571927701,"Halbpeak"
-21.559106134954,49.8244270110464,0,143,"2_Halbpeak","640",20190823,-23.3913764505981,40.4866368210754,6.76,-7.04150595149811,"Halbpeak"
-30.4945065933625,40.8890265526379,0,192,"2_Halbpeak","640",20190823,-29.0272392280776,40.5662971964733,13.19,-8.73806969896553,"Halbpeak"
-39.136977876928,32.2465552690724,0,232,"2_Halbpeak","640",20190823,-34.5309965428513,38.5168347844328,20.24,-10.3948657395675,"Halbpeak"
-6.4003718275594,50.0040782735215,0,47,"2_Halbend","640",20190823,-14.6921045802967,45.0042983132295,0.7,-4.42276417810149,"Halbend"
-16.2986756765192,40.1057744245617,0,94,"2_Halbend","640",20190823,-22.0041613893928,45.8322311326082,5.1,-6.62391260763847,"Halbend"
-22.6423776577927,33.7620724432882,0,143,"2_Halbend","640",20190823,-24.566713305026,39.7192406304494,7.84,-7.39531759969024,"Halbend"
-27.9482221958487,28.4562279052322,0,192,"2_Halbend","640",20190823,-26.6034713234202,40.2166876464928,10.65,-8.00844285713603,"Halbend"
-39.2581754577585,17.1462746433224,0,232,"2_Halbend","640",20190823,-34.6379305339689,37.9908539328274,20.36,-10.4270560784499,"Halbend"
-8.4780806817208,63.0474950783231,0,47,"3_Hfunstart","640",20190823,-19.4615018270795,43.3294799170101,2.78,-5.85849581062031,"Hfunstart"
-18.3783770702933,53.1471986897506,0,94,"3_Hfunstart","640",20190823,-24.8118793916768,43.5924349075397,7.18,-7.4691199456917,"Hfunstart"
-23.0461445975312,48.4794311625127,0,143,"3_Hfunstart","640",20190823,-25.0047956831454,38.2955600062853,8.25,-7.527193536076,"Hfunstart"
-24.9469883877636,46.5785873722803,0,192,"3_Hfunstart","640",20190823,-23.7466442598322,38.7664040645899,7.65,-7.14845221857139,"Hfunstart"
-29.6130932527161,41.9124825073278,0,232,"3_Hfunstart","640",20190823,-26.1279658319121,36.0675194041058,10.71,-7.86530144108914,"Hfunstart"
-9.2197896752848,59.8168870993496,0,47,"3_Hfuntrill","640",20190823,-21.1641007377657,44.5997537819836,3.52,-6.37102915332166,"Hfuntrill"
-12.1456410210591,56.8910357535753,0,94,"3_Hfuntrill","640",20190823,-16.3973227340205,45.0558524633612,0.95,-4.93608599152308,"Hfuntrill"
-18.4106700620361,50.6260067125983,0,143,"3_Hfuntrill","640",20190823,-19.9753603620247,41.0947674280729,3.61,-6.01318264316676,"Hfuntrill"
-20.2068375585089,48.8298392161255,0,192,"3_Hfuntrill","640",20190823,-19.2345695464182,40.9340622997366,2.91,-5.79018238715683,"Hfuntrill"
-24.9857046537403,44.0509721208941,0,232,"3_Hfuntrill","640",20190823,-22.0451687335735,38.680029959647,6.09,-6.63625704827936,"Hfuntrill"
-8.5082090138328,57.4599638422893,0,47,"3_Halbstart","640",20190823,-19.5306616537498,44.1757771029517,2.81,-5.87931499294299,"Halbstart"
-13.8337271852882,52.1344456708339,0,94,"3_Halbstart","640",20190823,-18.6763373689586,44.5337277933187,2.63,-5.62213775719667,"Halbstart"
-21.3156258136658,44.6525470424563,0,143,"3_Halbstart","640",20190823,-23.1272031672573,39.8709750127586,6.52,-6.96198186915947,"Halbstart"
-29.3617209932787,36.6064518628434,0,192,"3_Halbstart","640",20190823,-27.9489585053814,39.8782950367252,12.06,-8.41347485768775,"Halbstart"
-37.2840798003006,28.6840930558215,0,232,"3_Halbstart","640",20190823,-32.8961636929701,37.3161014606357,18.38,-9.9027320138564,"Halbstart"
-10.49113151751,60.8022670930691,0,47,"3_Halbpeak","640",20190823,-24.0824760769688,42.8493282190435,4.79,-7.24954766902785,"Halbpeak"
-12.558883024116,58.7345155864631,0,94,"3_Halbpeak","640",20190823,-16.9552235051389,43.6404961961737,1.36,-5.10403085823381,"Halbpeak"
-21.8191787957368,49.4742198148423,0,143,"3_Halbpeak","640",20190823,-23.6735522270333,40.4866368210754,7.02,-7.12644932425488,"Halbpeak"
-31.446541721599,39.8468568889801,0,192,"3_Halbpeak","640",20190823,-29.933466431205,40.5662971964733,14.15,-9.01087126999357,"Halbpeak"
-40.7011543145652,30.5922442960139,0,232,"3_Halbpeak","640",20190823,-35.9110870375827,38.5168347844328,21.8,-10.8103143752124,"Halbpeak"
-5.5531164978459,51.0458262963608,0,47,"3_Halbend","640",20190823,-12.7472232131292,45.0042983132295,-0.15,-3.83729654857608,"Halbend"
-13.2261873644935,43.3727554297132,0,94,"3_Halbend","640",20190823,-17.8561232280939,45.8322311326082,2.03,-5.37522869792862,"Halbend"
-18.6783123396715,37.9206304545352,0,143,"3_Halbend","640",20190823,-20.2657490836663,39.7192406304494,3.88,-6.1005983587834,"Halbend"
-16.7225141436123,39.8764286505944,0,192,"3_Halbend","640",20190823,-15.9178971155152,40.2166876464928,-0.58,-4.79176449966325,"Halbend"
-15.1864802107281,41.4124625834786,0,232,"3_Halbend","640",20190823,-13.3992025982128,37.9908539328274,-3.71,-4.03356190004081,"Halbend"
-8.22654561669501,62.8786681334516,0,47,"1_Hfunstart","800",20190823,-18.8841010790389,43.3781888788546,2.53,-5.68468086594127,"Hfunstart"
-19.2469108306269,51.8583029195197,0,94,"1_Hfunstart","800",20190823,-25.9844505510655,44.3725262464844,8.05,-7.82209903671819,"Hfunstart"
-25.1779779377377,45.9272358124089,0,143,"1_Hfunstart","800",20190823,-27.3178097700262,40.4175849089602,10.38,-8.22348015662044,"Hfunstart"
-30.1886407926759,40.9165729574707,0,192,"1_Hfunstart","800",20190823,-28.7360904029265,41.9722557349036,12.89,-8.65042516939275,"Hfunstart"
-36.725754835998,34.3794589141486,0,232,"1_Hfunstart","800",20190823,-32.4035472862371,40.1975181197977,17.83,-9.75443969907356,"Hfunstart"
-9.6291757419881,59.3423495888261,0,47,"1_Hfuntrill","800",20190823,-22.1038497191955,44.5468599828449,3.93,-6.65392178512672,"Hfuntrill"
-13.2004921469087,55.7710331839055,0,94,"1_Hfuntrill","800",20190823,-17.8214331878788,45.6190033763939,2,-5.36478595527308,"Hfuntrill"
-20.1524351016941,48.8190902291201,0,143,"1_Hfuntrill","800",20190823,-21.8651549331027,41.8389325992703,5.35,-6.58206749470419,"Hfuntrill"
-31.1430248301376,37.8285005006766,0,192,"1_Hfuntrill","800",20190823,-29.6445534956493,43.7724160804285,13.84,-8.92389981025596,"Hfuntrill"
-36.4355917223338,32.5359336084804,0,232,"1_Hfuntrill","800",20190823,-32.1475331017411,42.2394124668714,17.54,-9.6773717502248,"Hfuntrill"
-8.38736108142901,57.327543930107,0,47,"1_Halbstart","800",20190823,-19.2532542610193,44.1629114462673,2.69,-5.79580704671216,"Halbstart"
-13.5765867019424,52.1383183095936,0,94,"1_Halbstart","800",20190823,-18.3291827407186,45.2577138826889,2.38,-5.51763380096283,"Halbstart"
-19.8581657734067,45.8567392381293,0,143,"1_Halbstart","800",20190823,-21.5458761748487,41.4434077816586,5.06,-6.48595501149138,"Halbstart"
-28.6239417802444,37.0909632312916,0,192,"1_Halbstart","800",20190823,-27.2466781242025,43.3373858146904,11.32,-8.20206739758657,"Halbstart"
-31.9705375142728,33.7443674972632,0,232,"1_Halbstart","800",20190823,-28.2079654655519,41.6590046263779,13.07,-8.49144372178481,"Halbstart"
-10.2252953683523,60.6200028339099,0,47,"1_Halbpeak","800",20190823,-23.4722470762362,42.749826373534,4.53,-7.06585043558329,"Halbpeak"
-11.8240176357057,59.0212805665565,0,94,"1_Halbpeak","800",20190823,-15.9631124326207,44.0121496968833,0.62,-4.80537566637544,"Halbpeak"
-20.394630278707,50.4506679235552,0,143,"1_Halbpeak","800",20190823,-22.1279338500284,40.8693535121877,5.59,-6.6611718309269,"Halbpeak"
-32.0719949056657,38.7733032965965,0,192,"1_Halbpeak","800",20190823,-30.5288254393687,42.7023201551227,14.77,-9.19009218963961,"Halbpeak"
-43.5170928200634,27.3282053821988,0,232,"1_Halbpeak","800",20190823,-38.3956213085736,41.1628918252084,24.62,-11.5582337160358,"Halbpeak"
-4.706102194838,52.2427299620407,0,47,"1_Halbend","800",20190823,-10.8028951246868,44.9918268794359,-0.99,-3.2519954725429,"Halbend"
-16.0228875597871,40.9259445970916,0,94,"1_Halbend","800",20190823,-21.6318313700532,46.3054074895866,4.82,-6.51183010353107,"Halbend"
-18.4731026861027,38.475729470776,0,143,"1_Halbend","800",20190823,-20.0430990244349,40.3243385088085,3.67,-6.03357401241837,"Halbend"
-24.2185966812569,32.7302354756218,0,192,"1_Halbend","800",20190823,-23.0532996978605,41.9193613915434,6.92,-6.93973470808741,"Halbend"
-35.6588668239512,21.2899653329275,0,232,"1_Halbend","800",20190823,-31.4622199724254,40.0898269568428,16.76,-9.47107194187843,"Halbend"
-8.32536978052551,62.8331052893588,0,47,"2_Hfunstart","800",20190823,-19.1109527353452,43.3781888788546,2.63,-5.75297001905553,"Hfunstart"
-18.8087954857638,52.3496795841205,0,94,"2_Hfunstart","800",20190823,-25.3929693198987,44.3725262464844,7.61,-7.6440454442647,"Hfunstart"
-24.780811830639,46.3776632392453,0,143,"2_Hfunstart","800",20190823,-26.8868892176429,40.4175849089602,9.98,-8.09376014460498,"Hfunstart"
-29.5325019070073,41.625973162877,0,192,"2_Hfunstart","800",20190823,-28.1115221600256,41.9722557349036,12.23,-8.46241139394043,"Hfunstart"
-37.272928484384,33.8855465855003,0,232,"2_Hfunstart","800",20190823,-32.8863247612934,40.1975181197977,18.37,-9.89977020029642,"Hfunstart"
-9.62737019070669,59.3722243496859,0,47,"2_Hfuntrill","800",20190823,-22.0997050618277,44.5468599828449,3.93,-6.65267411893727,"Hfuntrill"
-13.2955400772238,55.7040544631688,0,94,"2_Hfuntrill","800",20190823,-17.9497534293444,45.6190033763939,2.1,-5.40341419700508,"Hfuntrill"
-20.3453200146578,48.6542745257348,0,143,"2_Hfuntrill","800",20190823,-22.0744327938142,41.8389325992703,5.55,-6.64506640820673,"Hfuntrill"
-28.5770467059936,40.422547834399,0,192,"2_Hfuntrill","800",20190823,-27.2020394436346,43.7724160804285,11.28,-8.18862981576877,"Hfuntrill"
-35.5652302060662,33.4343643343264,0,232,"2_Hfuntrill","800",20190823,-31.379603329448,42.2394124668714,16.67,-9.44620185420118,"Hfuntrill"
-8.69772772385299,57.0285887867127,0,47,"2_Halbstart","800",20190823,-19.9657033642251,44.1629114462673,3,-6.01027559716103,"Halbstart"
-13.5163463280116,52.2099701825541,0,94,"2_Halbstart","800",20190823,-18.2478547275451,45.2577138826889,2.32,-5.49315162950985,"Halbstart"
-20.7830399407765,44.9432765697892,0,143,"2_Halbstart","800",20190823,-22.5493537626001,41.4434077816586,5.98,-6.78803186538109,"Halbstart"
